"BreedCode_key","AccNumb","BreedCodeGroup","Family","BreedCodeOld"
"SR01.025","CIP_101004.2","SR01",101004,"SR01.025"
"SR01.013","CIP_101006.10","SR01",101006,"SR01.013"
"SR01.032","CIP_101006.12","SR01",101006,"SR01.032"
"SR01.030","CIP_101006.14","SR01",101006,"SR01.030"
"SR01.031","CIP_101007.3","SR01",101007,"SR01.031"
"SR01.003","CIP_101011.2","SR01",101011,"SR01.003"
"SR01.026","CIP_101013.2","SR01",101013,"SR01.026"
"SR01.027","CIP_101019.5","SR01",101019,"SR01.027"
"SR01.029","CIP_101026.7","SR01",101026,"SR01.029"
"SR01.004","CIP_101042.9","SR01",101042,"SR01.004"
"SR01.010","CIP_101043.1","SR01",101043,"SR01.010"
"SR01.018","CIP_101048.1","SR01",101048,"SR01.018"
"SR01.005","CIP_101055.2","SR01",101055,"SR01.005"
"SR01.006","CIP_101065.6","SR01",101065,"SR01.006"
"SR01.002","CIP_101065.7","SR01",101065,"SR01.002"
"SR01.015","CIP_101074.13","SR01",101074,"SR01.015"
"SR01.014","CIP_101074.2","SR01",101074,"SR01.014"
"SR01.019","CIP_101085.4","SR01",101085,"SR01.019"
"SR01.024","CIP_101088.2","SR01",101088,"SR01.024"
"SR01.020","CIP_101091.3","SR01",101091,"SR01.020"
"SR01.016","CIP_101093.1","SR01",101093,"SR01.016"
"SR01.012","CIP_101110.1","SR01",101110,"SR01.012"
"SR01.021","CIP_101111.1","SR01",101111,"SR01.021"
"SR01.009","CIP_101119.1","SR01",101119,"SR01.009"
"SR01.017","CIP_101131.4","SR01",101131,"SR01.017"
"SR01.022","CIP_101133.3","SR01",101133,"SR01.022"
"SR01.023","CIP_101133.4","SR01",101133,"SR01.023"
"SR02.081","CIP_102001.2","SR02",102001,"SR02.081"
"SR02.150","CIP_102002.1","SR02",102002,"SR02.150"
"SR02.152","CIP_102006.14","SR02",102006,"SR02.152"
"SR02.153","CIP_102006.18","SR02",102006,"SR02.153"
"SR02.118","CIP_102006.19","SR02",102006,"SR02.118"
"SR02.155","CIP_102007.19","SR02",102007,"SR02.155"
"SR02.173","CIP_102012.1","SR02",102012,"SR02.173"
"SR02.160","CIP_102012.15","SR02",102012,"SR02.160"
"SR02.003","CIP_102012.4","SR02",102012,"SR02.003"
"SR02.161","CIP_102013.5","SR02",102013,"SR02.161"
"SR02.174","CIP_102015.1","SR02",102015,"SR02.174"
