Family_key,Mother,Father,Scores1to3,Scores4to5,Scores6to9,Num.total.clones
110001,PJ05.064,PJ05.064,29,2,1,32
110002,VJ08.618,PJ05.064,11,3,2,16
110005,VJ08.054,VJ08.618,17,4,3,24
110007,PJ05.072,PJ05.064,14,2,2,18
110008,PJ05.072,VJ08.618,6,2,0,8
110010,VJ08.286,PJ05.064,12,2,4,18
110011,VJ08.286,VJ08.618,12,4,1,17
110019,VJ08.330,PJ05.064,15,3,5,23
110020,VJ08.330,VJ08.618,15,1,0,16
110021,VJ08.330,VJ08.054,8,0,0,8
110022,VJ08.330,PJ05.072,15,0,0,15
110026,VJ08.277,PJ05.064,18,1,0,19
110027,VJ08.277,VJ08.618,10,5,2,17
110028,VJ08.277,VJ08.054,4,4,12,20
110031,VJ08.277,VJ08.330,11,2,4,17
110035,PJ05.019,PJ05.064,13,0,0,13
110036,PJ05.019,VJ08.618,15,3,3,21
110044,PJ05.019,PJ05.019,6,2,11,19
110045,DLP3163,PJ05.064,5,2,6,13
110046,DLP3163,VJ08.618,10,2,6,18
110076,PJ05.064,VJ08.078,10,1,0,11
110001,PJ05.064,PJ05.064,7,5,5,17
110078,PJ05.064,VJ08.054,4,10,7,21
110004,VJ08.054,PJ05.064,11,6,1,18
110084,VJ08.078,PJ05.064,12,3,4,19
110086,VJ08.078,VJ08.054,15,2,3,20
110091,VJ08.372,VJ08.117,10,2,2,14
110094,VJ08.517,VJ08.372,13,0,4,17
110100,VJ08.038,VJ08.117,4,7,10,21
110101,VJ08.038,VJ08.372,3,3,6,12
110104,VJ08.038,VJ08.038,2,4,6,12
110122,VJ08.104,VJ08.038,8,3,12,23
110127,VJ08.601,VJ08.372,1,1,0,2
110128,VJ08.601,VJ08.517,7,0,6,13
110129,VJ08.601,VJ08.078,8,4,6,18
110130,VJ08.601,VJ08.038,11,3,2,16
110133,VJ08.601,VJ08.104,10,3,1,14
110134,VJ08.601,VJ08.601,8,1,2,11
110179,VJ08.293,VJ08.014,8,5,9,22
110180,VJ08.293,VJ08.276,2,8,2,12
110191,VJ08.633,VJ08.276,9,3,2,14
110193,VJ08.633,VJ08.293,7,5,0,12
110194,VJ08.633,VJ08.520,12,7,3,22
110215,VJ08.535,VJ08.276,2,7,11,20
110217,VJ08.535,VJ08.293,9,2,12,23
110218,VJ08.535,VJ08.520,8,8,2,18
110219,VJ08.535,VJ08.633,13,6,2,21
