Year,Family_key,Decendents,FamilyCode,FemaleCodeName,MaleCodeName,FemaleBreedcode,MaleBreedcode,MaleBulk,FemaleCipnumber,MaleCipnumber,FemaleAccNumb,MaleAccNumb,Breeder-name,Population,Crop,Remarks,Country
2012,112284,112284,-,VJ11.003,VJ11.046,VJ11.003,VJ11.046,,110001.11,110025.3,CIP_110001.11,CIP_110025.3,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112283,112283,-,VJ11.003,VJ11.042,VJ11.003,VJ11.042,,110001.11,110025.1,CIP_110001.11,CIP_110025.1,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112282,112282,-,VJ11.003,VJ11.047,VJ11.003,VJ11.047,,110001.11,110025.4,CIP_110001.11,CIP_110025.4,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112281,112281,-,VJ11.003,VJ11.050,VJ11.003,VJ11.050,,110001.11,110025.7,CIP_110001.11,CIP_110025.7,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112280,112280,-,VJ11.003,VJ08.330,VJ11.003,VJ08.330,,110001.11,107729.9,CIP_110001.11,CIP_107729.9,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112279,112279,-,VJ11.036,VJ11.047,VJ11.036,VJ11.047,,110019.4,110025.4,CIP_110019.4,CIP_110025.4,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112278,112278,-,VJ11.036,VJ08.390,VJ11.036,VJ08.390,,110019.4,107734.5,CIP_110019.4,CIP_107734.5,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112277,112277,-,VJ11.104,VJ08.330,VJ11.104,VJ08.330,,110217.1,107729.9,CIP_110217.1,CIP_107729.9,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112276,112276,-,VJ11.104,VJ08.390,VJ11.104,VJ08.390,,110217.1,107734.5,CIP_110217.1,CIP_107734.5,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112275,112275,-,VJ11.104,VJ11.050,VJ11.104,VJ11.050,,110217.1,110025.7,CIP_110217.1,CIP_110025.7,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112274,112274,-,VJ11.104,VJ11.046,VJ11.104,VJ11.046,,110217.1,110025.3,CIP_110217.1,CIP_110025.3,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112273,112273,-,VJ11.104,VJ11.042,VJ11.104,VJ11.042,,110217.1,110025.1,CIP_110217.1,CIP_110025.1,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112272,112272,-,VJ11.104,VJ11.047,VJ11.104,VJ11.047,,110217.1,110025.4,CIP_110217.1,CIP_110025.4,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112271,112271,-,PZ06.226,VJ08.330,PZ06.226,VJ08.330,,105228.1,107729.9,CIP_105228.1,CIP_107729.9,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112270,112270,-,PZ06.226,PZ06.226,PZ06.226,PZ06.226,,105228.1,105228.1,CIP_105228.1,CIP_105228.1,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112269,112269,-,PZ06.226,VJ11.047,PZ06.226,VJ11.047,,105228.1,110025.4,CIP_105228.1,CIP_110025.4,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112268,112268,-,PZ06.226,VJ08.390,PZ06.226,VJ08.390,,105228.1,107734.5,CIP_105228.1,CIP_107734.5,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112267,112267,-,PZ06.226,VJ11.050,PZ06.226,VJ11.050,,105228.1,110025.7,CIP_105228.1,CIP_110025.7,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112266,112266,-,PZ06.226,VJ11.046,PZ06.226,VJ11.046,,105228.1,110025.3,CIP_105228.1,CIP_110025.3,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112265,112265,-,PZ06.085,VJ08.390,PZ06.085,VJ08.390,,105086.1,107734.5,CIP_105086.1,CIP_107734.5,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112264,112264,-,PZ06.085,PZ06.085,PZ06.085,PZ06.085,,105086.1,105086.1,CIP_105086.1,CIP_105086.1,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112263,112263,-,PZ06.085,VJ08.330,PZ06.085,VJ08.330,,105086.1,107729.9,CIP_105086.1,CIP_107729.9,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112262,112262,-,PZ06.085,VJ11.050,PZ06.085,VJ11.050,,105086.1,110025.7,CIP_105086.1,CIP_110025.7,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112261,112261,-,PZ06.085,VJ11.046,PZ06.085,VJ11.046,,105086.1,110025.3,CIP_105086.1,CIP_110025.3,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112260,112260,-,PZ06.085,VJ11.042,PZ06.085,VJ11.042,,105086.1,110025.1,CIP_105086.1,CIP_110025.1,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112259,112259,-,PZ06.085,VJ11.047,PZ06.085,VJ11.047,,105086.1,110025.4,CIP_105086.1,CIP_110025.4,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112258,112258,-,VJ11.006,VJ11.042,VJ11.006,VJ11.042,,110001.14,110025.1,CIP_110001.14,CIP_110025.1,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
2012,112257,112257,-,VJ11.006,VJ11.047,VJ11.006,VJ11.047,,110001.14,110025.4,CIP_110001.14,CIP_110025.4,W.Gruneberg/F.Diaz,SPVD resistant-3,Sweetpotato,SPVD resistant-3,Peru
