"Family_key","Numseeds","Year","Location"
112143,1,2012,"Lima"
112144,2,2012,"Lima"
112145,8,2012,"Lima"
112146,38,2012,"Lima"
112147,36,2012,"Lima"
112148,16,2012,"Lima"
112149,33,2012,"Lima"
112150,31,2012,"Lima"
112151,5,2012,"Lima"
112152,93,2012,"Lima"
112153,2,2012,"Lima"
112154,8,2012,"Lima"
112155,3,2012,"Lima"
112156,5,2012,"Lima"
112157,3,2012,"Lima"
112158,21,2012,"Lima"
112159,2,2012,"Lima"
112160,2,2012,"Lima"
112161,6,2012,"Lima"
112162,8,2012,"Lima"
112163,6,2012,"Lima"
112164,15,2012,"Lima"
112165,7,2012,"Lima"
112166,8,2012,"Lima"
112167,1,2012,"Lima"
112168,11,2012,"Lima"
112169,20,2012,"Lima"
112170,20,2012,"Lima"
112171,11,2012,"Lima"
112172,9,2012,"Lima"
112173,27,2012,"Lima"
112174,3,2012,"Lima"
112175,7,2012,"Lima"
112176,9,2012,"Lima"
112177,35,2012,"Lima"
112178,15,2012,"Lima"
112179,11,2012,"Lima"
112180,83,2012,"Lima"
112181,150,2012,"Lima"
112182,88,2012,"Lima"
112183,45,2012,"Lima"
112184,72,2012,"Lima"
112185,72,2012,"Lima"
112186,139,2012,"Lima"
112187,79,2012,"Lima"
112188,22,2012,"Lima"
112189,12,2012,"Lima"
112190,13,2012,"Lima"
112191,33,2012,"Lima"
112192,12,2012,"Lima"
112193,19,2012,"Lima"
112194,2,2012,"Lima"
112195,48,2012,"Lima"
112196,4,2012,"Lima"
112197,7,2012,"Lima"
112198,13,2012,"Lima"
112199,33,2012,"Lima"
112200,8,2012,"Lima"
112201,16,2012,"Lima"
112202,80,2012,"Lima"
112203,26,2012,"Lima"
112204,4,2012,"Lima"
112205,20,2012,"Lima"
112206,38,2012,"Lima"
112207,55,2012,"Lima"
112208,17,2012,"Lima"
112209,8,2012,"Lima"
112210,37,2012,"Lima"
112211,2,2012,"Lima"
112212,10,2012,"Lima"
112213,6,2012,"Lima"
112214,2,2012,"Lima"
112215,17,2012,"Lima"
112216,13,2012,"Lima"
112217,39,2012,"Lima"
112218,242,2012,"Lima"
112219,103,2012,"Lima"
112220,85,2012,"Lima"
112221,2,2012,"Lima"
112222,2,2012,"Lima"
112223,39,2012,"Lima"
112224,73,2012,"Lima"
112225,1,2012,"Lima"
112226,3,2012,"Lima"
112227,2,2012,"Lima"
112228,20,2012,"Lima"
112229,74,2012,"Lima"
112230,36,2012,"Lima"
112231,115,2012,"Lima"
112232,30,2012,"Lima"
112233,3,2012,"Lima"
112234,21,2012,"Lima"
112235,22,2012,"Lima"
112236,8,2012,"Lima"
112237,4,2012,"Lima"
112238,1,2012,"Lima"
112239,5,2012,"Lima"
112240,28,2012,"Lima"
112241,2,2012,"Lima"
112242,3,2012,"Lima"
112243,8,2012,"Lima"
112244,250,2012,"Lima"
112245,12,2012,"Lima"
112246,15,2012,"Lima"
112247,15,2012,"Lima"
112248,20,2012,"Lima"
112249,8,2012,"Lima"
112250,6,2012,"Lima"
112251,1,2012,"Lima"
112252,7,2012,"Lima"
112253,7,2012,"Lima"
112254,6,2012,"Lima"
112255,6,2012,"Lima"
112256,2,2012,"Lima"
112257,3,2012,"Lima"
112258,3,2012,"Lima"
112259,12,2012,"Lima"
112260,11,2012,"Lima"
112261,17,2012,"Lima"
112262,3,2012,"Lima"
112263,68,2012,"Lima"
112264,9,2012,"Lima"
112265,18,2012,"Lima"
112266,4,2012,"Lima"
112267,2,2012,"Lima"
112268,5,2012,"Lima"
112269,2,2012,"Lima"
112270,6,2012,"Lima"
112271,12,2012,"Lima"
112272,4,2012,"Lima"
112273,2,2012,"Lima"
112274,1,2012,"Lima"
112275,4,2012,"Lima"
112276,1,2012,"Lima"
112277,7,2012,"Lima"
112278,3,2012,"Lima"
112279,1,2012,"Lima"
112280,23,2012,"Lima"
112281,2,2012,"Lima"
112282,20,2012,"Lima"
112283,11,2012,"Lima"
112284,14,2012,"Lima"
110050,3,2010,"Lima"
110045,43,2010,"Lima"
110048,4,2010,"Lima"
110047,13,2010,"Lima"
110049,34,2010,"Lima"
110046,44,2010,"Lima"
110044,112,2010,"Lima"
110035,336,2010,"Lima"
110038,57,2010,"Lima"
110043,137,2010,"Lima"
110037,88,2010,"Lima"
110042,16,2010,"Lima"
110039,63,2010,"Lima"
110041,39,2010,"Lima"
110036,177,2010,"Lima"
110040,15,2010,"Lima"
110001,748,2010,"Lima"
110078,299,2010,"Lima"
110076,387,2010,"Lima"
110079,61,2010,"Lima"
110077,309,2010,"Lima"
110007,113,2010,"Lima"
110009,9,2010,"Lima"
110008,79,2010,"Lima"
110170,0,2010,"Lima"
110169,8,2010,"Lima"
110073,8,2010,"Lima"
110071,16,2010,"Lima"
110074,7,2010,"Lima"
110072,5,2010,"Lima"
110075,3,2010,"Lima"
110104,344,2010,"Lima"
110103,62,2010,"Lima"
110100,86,2010,"Lima"
110101,94,2010,"Lima"
110102,21,2010,"Lima"
110032,7,2010,"Lima"
110034,14,2010,"Lima"
110033,5,2010,"Lima"
110004,73,2010,"Lima"
110006,1,2010,"Lima"
110080,111,2010,"Lima"
110082,12,2010,"Lima"
110081,80,2010,"Lima"
110005,130,2010,"Lima"
110109,4,2010,"Lima"
110110,4,2010,"Lima"
110108,22,2010,"Lima"
110105,11,2010,"Lima"
110106,26,2010,"Lima"
110107,1,2010,"Lima"
110084,256,2010,"Lima"
110086,137,2010,"Lima"
110083,22,2010,"Lima"
110099,8,2010,"Lima"
110096,10,2010,"Lima"
110085,135,2010,"Lima"
110097,81,2010,"Lima"
110098,35,2010,"Lima"
110122,64,2010,"Lima"
110123,10,2010,"Lima"
110121,23,2010,"Lima"
110125,3,2010,"Lima"
110118,17,2010,"Lima"
110119,4,2010,"Lima"
110124,46,2010,"Lima"
110120,28,2010,"Lima"
110090,1,2010,"Lima"
110235,1,2010,"Lima"
110245,2,2010,"Lima"
110237,0,2010,"Lima"
110236,3,2010,"Lima"
110238,0,2010,"Lima"
110241,28,2010,"Lima"
110244,0,2010,"Lima"
110239,1,2010,"Lima"
