Author,ScoreBand_key,MarkerType,Locus_key,MarkerOriginalName,AT,MarkerSize,BreedCode_key,Result,Specie,Electrophoresis,Coment,Image,Lane
Yanez2002,1,SSR,B123,IBCIP-1,63,153,BUGS_BUNNY,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,1
Yanez2002,2,SSR,B123,IBCIP-1,63,153,JPKY10.012,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,2
Yanez2002,3,SSR,B123,IBCIP-1,63,153,LM93.665,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,3
Yanez2002,4,SSR,B123,IBCIP-1,63,153,LM94.667,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,4
Yanez2002,5,SSR,B123,IBCIP-1,63,153,SPV78.001,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,5
Yanez2002,6,SSR,B123,IBCIP-1,63,153,SR91.109,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,6
Yanez2002,7,SSR,B123,IBCIP-1,63,153,SR94.005,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,7
Yanez2002,8,SSR,B123,IBCIP-1,63,153,SUMOR,0,Ipomoea batatas,Silver,,SSR06Nov2002.1,8
Yanez2002,9,SSR,B123,IBCIP-1,63,153,WAGABOLIGE,0,Ipomoea batatas,Silver,,SSR06Nov2002.1,9
Yanez2002,10,SSR,B123,IBCIP-1,63,153,XUSHU,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,10
Yanez2002,11,SSR,B123,IBCIP-1,63,153,TANZANIA,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,11
Yanez2002,12,SSR,B123,IBCIP-1,63,150,BUGS_BUNNY,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,1
Yanez2002,13,SSR,B123,IBCIP-1,63,150,JPKY10.012,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,2
Yanez2002,14,SSR,B123,IBCIP-1,63,150,LM93.665,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,3
Yanez2002,15,SSR,B123,IBCIP-1,63,150,LM94.667,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,4
Yanez2002,16,SSR,B123,IBCIP-1,63,150,SPV78.001,0,Ipomoea batatas,Silver,,SSR06Nov2002.1,5
Yanez2002,17,SSR,B123,IBCIP-1,63,150,SR91.109,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,6
Yanez2002,18,SSR,B123,IBCIP-1,63,150,SR94.005,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,7
Yanez2002,19,SSR,B123,IBCIP-1,63,150,SUMOR,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,8
Yanez2002,20,SSR,B123,IBCIP-1,63,150,WAGABOLIGE,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,9
Yanez2002,21,SSR,B123,IBCIP-1,63,150,XUSHU,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,10
Yanez2002,22,SSR,B123,IBCIP-1,63,150,TANZANIA,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,11
Yanez2002,23,SSR,B123,IBCIP-1,63,146,BUGS_BUNNY,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,1
Yanez2002,24,SSR,B123,IBCIP-1,63,146,JPKY10.012,0,Ipomoea batatas,Silver,,SSR06Nov2002.1,2
Yanez2002,25,SSR,B123,IBCIP-1,63,146,LM93.665,0,Ipomoea batatas,Silver,,SSR06Nov2002.1,3
Yanez2002,26,SSR,B123,IBCIP-1,63,146,LM94.667,0,Ipomoea batatas,Silver,,SSR06Nov2002.1,4
Yanez2002,27,SSR,B123,IBCIP-1,63,146,SPV78.001,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,5
Yanez2002,28,SSR,B123,IBCIP-1,63,146,SR91.109,0,Ipomoea batatas,Silver,,SSR06Nov2002.1,6
Yanez2002,29,SSR,B123,IBCIP-1,63,146,SR94.005,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,7
Yanez2002,30,SSR,B123,IBCIP-1,63,146,SUMOR,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,8
Yanez2002,31,SSR,B123,IBCIP-1,63,146,WAGABOLIGE,0,Ipomoea batatas,Silver,,SSR06Nov2002.1,9
Yanez2002,32,SSR,B123,IBCIP-1,63,146,XUSHU,0,Ipomoea batatas,Silver,,SSR06Nov2002.1,10
Yanez2002,33,SSR,B123,IBCIP-1,63,146,TANZANIA,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,11
Yanez2002,34,SSR,B123,IBCIP-1,63,140,BUGS_BUNNY,0,Ipomoea batatas,Silver,,SSR06Nov2002.1,1
Yanez2002,35,SSR,B123,IBCIP-1,63,140,JPKY10.012,1,Ipomoea batatas,Silver,,SSR06Nov2002.1,2
