Family_key,YearofUse-Lost,Numseeds,Used,ConsigneeCountry,ConsigneeLocation,Client,CIPPhytosanitaryStatement:
112172,2012,9,Used,Uganda,Namulonge,Robert Mwanga,2012-232
112146,2012,15,Used,Uganda,Namulonge,Robert Mwanga,2012-232
112147,2012,15,Used,Uganda,Namulonge,Robert Mwanga,2012-232
112150,2012,15,Used,Uganda,Namulonge,Robert Mwanga,2012-232
112152,2012,20,Used,Uganda,Namulonge,Robert Mwanga,2012-232
112158,2012,10,Used,Uganda,Namulonge,Robert Mwanga,2012-232
112169,2012,10,Used,Uganda,Namulonge,Robert Mwanga,2012-232
112170,2012,10,Used,Uganda,Namulonge,Robert Mwanga,2012-232
110001,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110002,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110005,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110007,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110008,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110010,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110011,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110019,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110020,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110021,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110022,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110026,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110027,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110028,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110031,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110035,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110036,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110044,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110045,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110046,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110076,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110001,2010,120,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110078,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110004,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110084,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110086,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110091,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110094,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110100,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110101,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110104,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110122,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110127,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110128,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110129,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110130,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110133,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110134,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110179,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110180,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110191,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110193,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110194,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110215,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110217,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110218,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110219,2010,30,Used,Uganda,Namulonge,Robert Mwanga,2010-133
110001,2011,20,Used,Peru,Lima,Kelvin Huamani,
110019,2011,21,Used,Peru,Lima,Kelvin Huamani,
