TestID_key,BreedCode_key,Test-Control-SPVD,Family_key,ExperimentGroup,Year,Image,Position,Date-Plant,Date-Graft,Date-test,Repeat,DAP,DAG,Test,SPFMV,SPCSV,SPFMV-2nd,SPCSV-2nd,COX,Date-PCR,RT-reaction,SPFMV100,SPCSV100
1,VJ08.005,T,107689,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,2,0.5,,,,,,50,12.5
2,VJ08.005,T,107689,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,3,0,,,,,,75,0
3,VJ08.005,T,107689,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,4,0,,,,,,100,0
4,VJ08.009,T,107682,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
5,VJ08.009,T,107682,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
6,VJ08.009,T,107682,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0,,,,,,0,0
7,VJ08.010,T,107682,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
8,VJ08.010,T,107682,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
9,VJ08.010,T,107682,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0.5,0,,,,,,12.5,0
10,VJ08.012,T,107683,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
11,VJ08.012,T,107683,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,1,0,,,,,,25,0
12,VJ08.012,T,107683,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,2,1,,,,,,50,25
13,VJ08.018,T,107683,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
14,VJ08.018,T,107683,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
15,VJ08.018,T,107683,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0,,,,,,0,0
16,VJ08.020,T,107717,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
17,VJ08.020,T,107717,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,3,1,,,,,,75,25
18,VJ08.020,T,107717,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0.5,2,,,,,,12.5,50
19,VJ08.023,T,107684,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,3,2,,,,,,75,50
20,VJ08.023,T,107684,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
21,VJ08.023,T,107684,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,4,3,,,,,,100,75
22,VJ08.026,T,107684,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,2,1,,,,,,50,25
23,VJ08.026,T,107684,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,3,1,,,,,,75,25
24,VJ08.026,T,107684,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,2,0.5,,,,,,50,12.5
25,VJ08.029,T,107684,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,2,1,,,,,,50,25
26,VJ08.029,T,107684,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,1,2,,,,,,25,50
27,VJ08.029,T,107684,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,2,1,,,,,,50,25
28,VJ08.033,T,107786,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
29,VJ08.033,T,107786,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,1,0,,,,,,25,0
30,VJ08.033,T,107786,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,2,0,,,,,,50,0
31,VJ08.035,T,107786,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,1,,,,,,0,25
32,VJ08.035,T,107786,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0.5,,,,,,0,12.5
33,VJ08.035,T,107786,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0.5,1,,,,,,12.5,25
34,VJ08.036,T,107718,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,2,0.5,,,,,,50,12.5
35,VJ08.036,T,107718,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0.5,0,,,,,,12.5,0
36,VJ08.036,T,107718,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,,0.5,,,,,,NA,12.5
37,VJ08.039,T,107718,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,2,1,,,,,,50,25
38,VJ08.039,T,107718,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
39,VJ08.039,T,107718,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,1,,,,,,0,25
40,VJ08.047,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
41,VJ08.047,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,3,1,,,,,,75,25
42,VJ08.047,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0,,,,,,0,0
43,VJ08.048,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,1,,,,,,0,25
44,VJ08.048,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,1,,,,,,0,25
45,VJ08.048,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0.5,,,,,,0,12.5
46,VJ08.049,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
47,VJ08.049,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
48,VJ08.049,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0,,,,,,0,0
49,VJ08.055,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0.5,,,,,,0,12.5
50,VJ08.055,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,1,,,,,,0,25
51,VJ08.055,T,107719,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,1,,,,,,0,25
52,VJ08.061,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0.5,1,,,,,,12.5,25
53,VJ08.061,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
54,VJ08.061,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0,,,,,,0,0
55,VJ08.064,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,2,1,,,,,,50,25
56,VJ08.064,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,1,0,,,,,,25,0
57,VJ08.064,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0,,,,,,0,0
58,VJ08.065,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,1,0,,,,,,25,0
59,VJ08.065,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
60,VJ08.065,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0.5,,,,,,0,12.5
61,VJ08.068,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
62,VJ08.068,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0.5,,,,,,0,12.5
63,VJ08.068,T,107685,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0,,,,,,0,0
64,VJ08.069,T,107765,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,1,0,,,,,,25,0
65,VJ08.069,T,107765,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,3,0.5,,,,,,75,12.5
66,VJ08.069,T,107765,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0,,,,,,0,0
67,VJ08.070,T,107765,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
68,VJ08.070,T,107765,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
69,VJ08.070,T,107765,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0,,,,,,0,0
70,VJ08.072,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,2,1,,,,,,50,25
71,VJ08.072,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,2,1,,,,,,50,25
72,VJ08.072,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,1,2,,,,,,25,50
73,VJ08.073,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,3,1,,,,,,75,25
74,VJ08.073,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,1,1,,,,,,25,25
75,VJ08.073,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,3,0,,,,,,75,0
76,VJ08.074,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
77,VJ08.074,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
78,VJ08.074,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,0.5,,,,,,0,12.5
79,VJ08.075,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
80,VJ08.075,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
81,VJ08.075,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,0,2,,,,,,0,50
82,VJ08.076,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,0,,,,,,0,0
83,VJ08.076,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,0,0,,,,,,0,0
84,VJ08.076,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,1,2,,,,,,25,50
85,VJ08.079,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,1,47,35,NCM-visual,0,2,,,,,,0,50
86,VJ08.079,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,2,47,35,NCM-visual,3,1,,,,,,75,25
87,VJ08.079,T,107720,1,2008,,,2008-02-22,2008-03-05,2008-04-09,3,47,35,NCM-visual,4,2,,,,,,100,50
